Unnamed: 0,id,doy,dem,slope,lst,pop,wv,landcover,avp,dpt,mr,rh,sh,vpd,AVP,DPT,MR,RH,SH,VPD,year,month,day
26502,53899,180,49.066406,0.04345703,25.050049,4.7299805,0.566,12,18.69383603,16.44619077,11.691211,72.85583749,11.556106,6.96483001,21.50940151,18.66834568,13.645788,86,13.462087,3.501530478,2003,6,30
4798,53584,357,1002.041,0.1784668,-6.1000977,44.120605,0.404,13,1.163330422,-20.89912453,0.71495,32.26266813,0.714439,2.442479293,1.792898843,-15.80369895,1.230003,40,1.228492,2.689348265,2003,12,24
113331,54945,178,81.8584,2.2304688,24.149902,7.162842,3.0455,12,24.3282446,20.65043411,15.301684,79.93371413,15.071071,6.107279213,24.65318465,20.86577634,15.740483,76,15.49656,7.785216205,2003,6,28
57829,54597,138,465.9546,15.661377,19.25,0.6843262,0.692,9,9.248981103,5.845715459,5.729941,47.72517762,5.697295,10.13068717,12.7157159,10.53197069,8.320804,59,8.25214,8.836344949,2003,5,19
129263,58038,146,9.162598,0.07788086,20.199951,7.187744,1.399,12,17.48126666,15.39721642,10.919551,74.54466475,10.801603,5.969461463,16.02528186,14.049547,10.034731,69,9.935036,7.199764314,2003,5,27
42297,54434,141,117.69531,0.9355469,26,2.15625,0.618,12,14.89329685,12.92512029,9.278879,54.67191841,9.193573,12.34792183,15.58441226,13.62019896,9.88767,51,9.790861,14.97325884,2003,5,22
39840,54425,188,606.5337,4.4035645,20.75,9.042236,1.5305,12,14.76973022,12.79786135,9.200755,69.49905383,9.116873,6.481969486,17.89902555,15.76564328,12.087563,81,11.943198,4.198536857,2003,7,8
105142,54910,215,42.432373,0.010742188,24.699951,4.26416,3.1755,12,28.49827567,23.2411972,18.000403,84.11146702,17.682117,5.383282552,28.40000333,23.18408693,18.133611,83,17.810639,5.816868152,2003,8,4
108380,54919,220,85.66504,0.73657227,27.800049,23.408936,2.5935,13,27.4604974,22.62918053,17.32665,82.41594599,17.03155,5.858901011,27.96178308,22.92729182,18.07765,71,17.756652,11.42100999,2003,8,9
129922,58045,100,5.1953125,0.03125,11.149902,17.870361,0.68666667,13,12.17119743,9.877242025,7.562327,77.75294818,7.505567,3.482482225,12.20231603,9.915348346,7.594049,81,7.536814,2.86227166,2003,4,11
62079,54612,52,6.106201,0.006835938,3.25,3.7944336,0.492,12,5.46229953,-1.538913472,3.371296,69.22428436,3.359968,2.428427808,6.334769497,0.494331903,3.886921,83,3.871871,1.297482909,2003,2,22
58635,54602,224,17.884521,0.057617188,23.649902,4.2851562,3.1335,13,21.34762849,18.54780286,13.386625,69.42267392,13.20979,9.402596592,21.55662903,18.70338644,13.608391,63,13.425689,12.66024245,2003,8,13
128114,58034,55,37.732178,0.05883789,2.4499512,5.586914,0.38,13,7.302241158,2.476852671,4.515139,75.62594574,4.494844,2.353494167,7.104632712,2.091671241,4.382514,76,4.363391,2.243568225,2003,2,25
48383,54513,78,79.13306,0.5957031,3.3000488,28.636963,0.3345,13,4.822591669,-3.221963628,2.974584,52.14787617,2.965762,4.42532411,6.871498807,1.624846145,4.257566,73,4.239516,2.541513257,2003,3,20
52255,54526,278,4.854492,0.029541016,16.800049,14.818115,1.718,13,13.00212576,10.86648458,8.085318,71.25347474,8.02047,5.245581891,13.20624404,11.10094257,8.153602,78,8.087658,3.724838064,2003,10,6
95552,54834,334,44.17212,0.14135742,0.35009766,3.5769043,0.217,12,6.616194865,1.097245789,4.088153,85.56914018,4.071508,1.115792217,6.104761698,-0.016328413,3.74975,89,3.735742,0.754521109,2003,12,1
91693,54822,110,51.232666,1.6147461,14.949951,42.396484,0.78,13,5.178396153,-2.262995148,3.195172,30.79534031,3.184996,11.63712236,6.434839554,0.711389789,3.947155,39,3.931636,10.06474905,2003,4,21
115170,57085,239,251.26562,0.5605469,21.449951,27.95459,1.084,13,26.04396755,21.76022746,16.409288,89.98672357,16.14437,2.898043579,24.9090516,21.03359789,16.318549,84,16.05653,4.744581258,2003,8,28
51333,54522,134,21.191406,0.22192383,20.550049,19.736084,0.6185,13,11.94350112,9.595770772,7.419165,54.12608816,7.364526,10.12257002,15.37231484,13.40982182,9.591546,75,9.500422,5.124104947,2003,5,15
