Unnamed: 0,id,doy,dem,slope,lst,pop,wv,landcover,avp,dpt,mr,rh,sh,vpd,AVP,DPT,MR,RH,SH,VPD,year,month,day
111688,54936,300,108.61255,0.084228516,14.149902,38.827637,0.9785,13,8.524236896,4.672145462,5.277137,63.84104816,5.249435,4.828045281,6.852319362,1.585819489,4.247294,47,4.229331,7.727083536,2003,10,28
47024,54507,169,48.86548,0.24633789,24.75,4.8188477,2.748,12,22.66287067,19.5054788,14.230253,61.29372463,14.030594,14.31133967,21.52124101,18.67713642,13.77146,60,13.584383,14.34749401,2003,6,19
43398,54438,126,51.5437,0.29052734,15.600098,5.9223633,0.5565,13,3.220490212,-8.520442073,1.983254,21.58968663,1.979328,11.69630904,6.818912306,1.517610533,4.240391,39,4.222486,10.66547822,2003,5,7
67546,54631,61,34.145752,0.009765625,6.199951,35.764893,0.3545,13,2.193040108,-13.35006752,1.349153,31.09120065,1.347336,4.86053152,3.838781682,-6.24488501,2.341339,54,2.33587,3.270073285,2003,3,3
124678,58017,156,44.511963,0.03955078,27.399902,28.007324,1.3465,13,15.67928506,13.71348724,9.776265,45.52052975,9.681615,18.76514067,18.3801503,16.18069754,11.64477,57,11.51073,13.86572742,2003,6,6
30151,53987,264,96.91138,0.14746094,22.100098,2.1809082,2.876,12,19.87722926,17.41375249,12.44612,78.60571702,12.293118,5.410027205,19.73696081,17.30175379,12.49492,77,12.340724,5.895455827,2003,9,22
1713,53487,159,1053.8784,0.24194336,17.800049,2.559082,1.319,10,6.662024349,1.193268712,4.116659,40.71775028,4.099781,9.6994502,10.83212573,8.149959094,7.665836,60,7.607518,7.221417152,2003,6,9
95499,54834,289,44.17212,0.14135742,14.050049,3.5769043,0.965,12,9.946383728,6.900612768,6.16628,60.55234534,6.12849,6.4797079,9.209266959,5.783550534,5.713657,52,5.681196,8.500861808,2003,10,17
4351,53582,20,1080.8452,0.2902832,-7.5,7.880127,0.1,12,3.065307856,-9.152497355,1.887399,76.24013972,1.883843,0.955287945,2.519039319,-11.63118592,1.766205,69,1.763091,1.131742303,2003,1,21
97977,54843,272,26.522705,0.18139648,18.75,3.5686035,1.34,12,16.20733715,14.22381681,10.110865,77.1310094,10.009659,4.805401147,13.67863743,11.63153251,8.504119,72,8.432409,5.31947011,2003,9,30
60442,54607,223,47.599365,0.052978516,22.600098,5.3303223,0.461,12,22.67808902,19.51627121,14.240028,68.02892083,14.040096,10.6578639,23.3996793,20.02084748,14.832749,73,14.615955,8.654675905,2003,8,12
70649,54702,273,24.33545,0.044677734,15.949951,59.301514,0.2055,13,11.7314688,9.32937266,7.28591,63.17027933,7.233209,6.839715185,15.15036273,13.18691507,9.414131,85,9.326332,2.673593423,2003,10,1
101119,54857,176,63.17505,0.5510254,21.300049,141.88208,1.047,13,20.3880601,17.81584574,12.772545,87.01970208,12.611464,3.041185935,20.2560018,17.7127538,12.938334,80,12.773072,5.064000451,2003,6,26
85719,54804,239,46.216797,0.041015625,20.649902,6.790039,0.23133333,12,24.33070358,20.65207316,15.303269,80.51773058,15.072608,5.887117272,25.66844373,21.522926,16.362084,84,16.098676,4.889227376,2003,8,28
92882,54825,222,192.34253,1.1188965,29.949951,43.556152,1.8775,13,22.15282219,19.14003525,13.90283,67.14096771,13.712192,10.84167126,22.44999367,19.3538418,14.515539,66,14.307853,11.56514825,2003,8,11
73207,54709,328,26.324219,0.007324219,2.8500977,13.42334,0.34166667,12,5.98524658,-0.288447444,3.695973,73.4725607,3.682363,2.160987229,5.485702434,-1.480726534,3.322196,75,3.311195,1.828567478,2003,11,25
6695,53596,131,54.567383,0.111328125,22.050049,13.465576,2.4215,13,16.63561283,14.6270799,10.382502,66.16407099,10.275814,8.507357638,18.33176427,16.13939108,11.503403,77,11.372579,5.475721794,2003,5,12
5075,53585,4,945.2197,1.3015137,-4.3500977,6.6518555,0.306,12,1.836527113,-15.51362394,1.129429,39.4,1.128155,2.82126184,1.970587297,-14.65930484,1.34078,50,1.338984,1.970587297,2004,1,5
92973,54828,353,222.56445,0.625,0.25,24.899902,0.349,13,3.771680774,-6.475364431,2.323958,62.5,2.31857,2.261243566,5.303631792,-1.939350903,3.341145,69,3.330018,2.382791095,2004,12,19
91253,54822,91,51.232666,1.6147461,9,41.931885,0.768,13,5.724383143,-0.899547323,3.533971,49.5,3.521526,5.848106334,7.6595442,3.150459567,4.745781,62,4.723365,4.694559348,2004,4,1
121973,58007,247,50.39624,0.053466797,25.550049,90.11987,0.411,13,22.59562396,19.45771306,14.187065,80.2,13.988608,5.581796139,23.27480302,19.93451313,14.705261,87,14.49215,3.477844129,2004,9,4
36805,54410,186,1054.5295,10.868164,20.699951,0.265625,1.6305,8,12.79531789,10.62560361,7.955071,53.9,7.892287,10.92375376,12.3755043,10.12587314,8.997045,60,8.91682,8.250336199,2004,7,5
90442,54820,313,38.626465,0.016113281,8.100098,4.0754395,1.2175,12,13.53863437,11.47598801,8.423462,89.7,8.3531,1.551632862,12.8094218,10.64213993,7.963966,92,7.901042,1.113862766,2004,11,9
3792,53499,101,756.56055,0.5402832,14.399902,18.078857,0.26166666,13,3.885295966,-6.087211355,2.394233,25,2.388514,11.6525043,5.43981515,-1.595025453,3.676571,29,3.663103,13.31816813,2004,4,11
113640,57081,175,135.41992,0.19970703,27.899902,2.6855469,3.6865,12,25.23818397,21.24726448,15.888626,61.9,15.640126,15.50300492,23.35662416,19.99112669,15.182338,60,14.955282,15.57108278,2004,6,24
59837,54607,22,47.599365,0.052978516,-4.3999023,5.5026855,0.2245,12,0.991186221,-22.72821083,0.609052,25.1,0.608681,2.955796297,1.139375699,-21.13848326,0.692481,27,0.692002,3.080534298,2004,1,23
18057,53795,81,129.46655,0.4399414,11.5,15.916016,0.435,13,7.738298383,3.295180257,4.786838,65.4,4.764033,4.093239405,7.608451516,3.055864159,4.760834,62,4.738276,4.663244478,2004,3,22
24261,53893,211,41.697754,0.000244141,24.350098,46.606934,2.363,13,20.91759402,18.22342389,13.111275,80.2,12.941595,5.15642537,23.93102934,20.38374003,15.13919,90,14.913413,2.65900326,2004,7,30
73722,54711,157,18.807861,0.022949219,22.25,8.137207,0.4925,13,14.03831867,12.02480024,8.738723,54.1,8.663019,11.90092788,16.25753232,14.27156233,10.165141,70,10.062851,6.967513852,2004,6,6
123002,58012,229,42.457275,0.014160156,20.949951,3.6845703,1.8003334,12,20.5563079,17.94634272,12.88013,84.1,12.716342,3.880922285,23.4699166,20.06922918,14.870759,95,14.652859,1.235258768,2004,8,17
43745,54454,301,40.7854,1.1843262,11.050049,1.2678223,0.49066666,12,7.498154161,2.849721527,4.63718,56.5,4.615775,5.775252234,6.381281917,0.595595362,3.911781,52,3.896538,5.890414077,2004,10,28
118097,57096,315,61.698975,0.029296875,7.6000977,13.513672,0.38366666,12,6.198844086,0.194580332,3.828684,58.8,3.814081,4.337250056,6.456398581,0.757760496,3.974575,59,3.95884,4.486649862,2004,11,11
73542,54711,334,18.807861,0.022949219,1.6000977,8.137207,0.503,13,5.918316666,-0.442949677,3.6544,70.3,3.641094,2.504568765,6.346570748,0.520086979,3.868637,98,3.853728,0.129521852,2004,11,30
69359,54645,96,4.2402344,0.045166016,8.800049,18.42456,0.4015,13,5.101763407,-2.464479828,3.147649,46.5,3.137772,5.877962278,6.013131037,-0.224530286,3.689854,49,3.676289,6.258564957,2004,4,6
100194,54855,360,125.366455,2.0795898,-5.3999023,0.8359375,0.528,12,3.668464332,-6.83711853,2.260129,65.6,2.255033,1.921461991,3.793371263,-6.400465213,2.30856,74,2.303242,1.33280612,2004,12,26
40963,54431,58,20.998047,0.007324219,2.6999512,5.750244,0.269,12,1.517513728,-17.79553579,0.932948,21.1,0.932078,5.679313949,2.455078629,-11.95210731,1.518565,27,1.516262,6.637805182,2004,2,28
48701,54514,265,56.071533,0.16455078,22.399902,61.962646,1.187,13,10.61055649,7.846143977,6.582392,49.6,6.539348,10.7635259,12.95341878,10.81005855,8.080503,64,8.015732,7.286298063,2004,9,22
44076,54455,25,18.644531,0.13085938,-7.1499023,3.3703613,0.303,12,1.446576182,-18.36093241,0.889274,40,0.888484,2.169603047,1.844415221,-15.46183638,1.12088,55,1.119625,1.509066999,2004,1,26
18985,53798,30,139.85156,1.1394043,1.75,1.9643555,0.1165,12,5.17792881,-2.264215851,3.194882,83.9,3.184708,0.990333911,4.434908459,-4.341226791,2.73604,71,2.728575,1.811441483,2004,1,31
8181,53682,193,106.23462,0.54125977,25.600098,11.581055,0.9655,13,22.27293014,19.22675095,13.979902,83.9,13.787159,4.269694856,24.41715283,20.70960434,15.677718,88,15.435721,3.329611749,2004,7,12
129866,58045,266,5.1953125,0.03125,20,19.727295,1.279,13,15.32538042,13.36292292,9.552211,70.3,9.46183,6.48055653,16.60478282,14.59835749,10.320502,80,10.215077,4.151195706,2004,9,23
130419,58048,67,4.8342285,0.019042969,10.100098,4.2905273,0.484,12,6.210006372,0.219414647,3.835621,50.4,3.820965,6.105075298,4.414786275,-4.401664075,2.692063,39,2.684835,6.905178532,2004,3,8
86854,54809,351,42.47998,0.044433594,1.6499023,10.0896,0.6385,12,5.864725788,-0.567781194,3.621117,79.7,3.608051,1.489809255,6.471092806,0.789287295,3.973845,93,3.958117,0.487071502,2004,12,17
109636,54925,138,156.80664,0.118896484,25.25,3.6708984,1.9505,12,16.29689416,14.30891253,10.167648,60.8,10.065307,10.50013122,13.60743429,11.55260153,8.69923,44,8.624206,17.31855273,2004,5,18
28083,53982,90,100.660645,0.3388672,12.100098,24.286377,0.9145,13,8.179620205,4.08282814,5.062057,46.4,5.036562,9.458419494,7.449416457,2.757775599,4.665738,41,4.64407,10.71989197,2004,3,31
101567,54902,298,51.110107,0.018554688,12.800049,5.7019043,1.534,12,9.869547947,6.787653859,6.118177,64.4,6.080972,5.466623773,11.21896481,8.667476842,6.89661,79,6.849373,2.982256469,2004,10,25
6958,53599,338,864.33105,0.6484375,-1.1000977,29.688232,0.24233334,13,2.277375841,-12.88457909,1.401153,42.8,1.399193,3.046494775,2.46934181,-11.87990118,1.668266,36,1.665487,4.389940996,2004,12,4
71074,54704,46,24.550781,0.012939453,3.1499023,16.908203,0.22,13,4.552665353,-3.992352549,2.807341,54.5,2.799482,3.798733998,4.272533974,-4.836044411,2.613154,58,2.606343,3.093903912,2004,2,16
75121,54715,150,19.114258,0.017089844,18.25,2.1728516,0.7675,12,8.71995368,4.997512436,5.399352,37.4,5.370355,14.61215886,14.09798285,12.08917525,8.793125,54,8.71648,12.0093928,2004,5,30
47045,54510,341,17.944092,0.04736328,0.64990234,5.8745117,0.434,12,2.9389625,-9.688520813,1.809378,45.6,1.80611,3.50921259,3.510821552,-7.407505323,2.142933,55,2.138351,2.87249036,2004,12,7
62192,54613,123,6.885254,0.030273438,16.850098,23.50122,0.547,13,4.274206062,-4.830864334,2.634906,24.2,2.627981,13.36428522,8.084798414,3.916824062,4.997442,49,4.972592,8.414790186,2004,5,3
77374,54725,256,12.48999,0.021484375,20.699951,6.112549,1.817,12,17.41305849,15.33632876,10.876201,62.6,10.759182,10.38187955,20.10267925,17.59231841,12.550991,77,12.395416,6.0046964,2004,9,13
87354,54810,161,29.42627,0.032470703,29.699951,8.810547,2.3455,12,17.53447753,15.44457143,10.953375,48.2,10.834698,18.87344977,19.25559636,16.91200897,12.07123,54,11.927253,16.40291542,2004,6,10
67942,54633,147,28.094727,0.005615234,21.550049,3.105713,0.596,12,14.34571487,12.35392532,8.932822,65.7,8.853734,7.497605459,16.58571949,14.58057388,10.404106,76,10.296975,5.23759563,2004,5,27
112660,54940,248,137.65991,1.1921387,22,49.614502,1.2155,13,21.04248166,18.31822675,13.191216,81.8,13.019473,4.680645509,21.51894232,18.67542999,13.755804,70,13.569149,9.222403853,2004,9,5
126774,58027,40,42.63867,0.8930664,8.850098,3.2746582,0.6545,13,5.619452088,-1.152349854,3.46883,58.8,3.456839,3.944674764,6.306718083,0.432941291,3.866169,67,3.85128,3.106293981,2004,2,10
78363,54728,163,11.231689,0.009521484,24.75,6.3066406,2.0575,12,12.17854968,9.886252975,7.56695,39.6,7.510122,18.55199997,14.62651102,12.64918384,9.081146,43,8.999421,19.38863089,2004,6,12
59898,54607,327,47.599365,0.052978516,3.75,5.5026855,0.5565,12,4.963771745,-2.834165955,3.062093,50.7,3.052745,4.82230019,6.191399818,0.177995967,3.794297,73,3.779955,2.289969796,2004,11,23
104157,54909,44,51.72461,0.045166016,8.199951,3.9909668,0.335,12,3.384669649,-7.880618159,2.084698,34,2.080361,6.578703844,3.215210747,-8.541494873,1.978036,33,1.974131,6.527852123,2004,2,14
35852,54406,280,484.60693,0.29052734,16.649902,27.327148,1.2915,13,11.34876013,8.837591426,7.045534,68.2,6.996241,5.280826934,11.98346819,9.64551752,7.863714,76,7.802358,3.784253114,2004,10,7
116452,57090,93,79.559814,0.026855469,11.899902,8.501709,0.846,12,5.231229376,-2.125620906,3.227941,51,3.217554,5.034888863,4.302989653,-4.741974929,2.638606,37,2.631662,7.326712111,2004,4,3
123066,58013,20,37.559814,0.031982422,-1.3000488,8.962158,0.26866665,12,1.73870108,-16.1729702,1.069165,41,1.068023,2.498339479,2.056427036,-14.13916754,1.246571,51,1.245019,1.975782838,2004,1,21
94907,54833,151,16.470215,0.05810547,23.050049,28.335938,1.0256667,12,10.61209437,7.848271942,6.583356,40,6.540299,15.92189536,10.56139235,7.777971426,6.54375,39,6.501208,16.51910085,2004,5,31
58984,54604,126,31.98169,0.06347656,22.75,38.183105,1.0136666,13,9.020321115,5.48450559,5.587008,33.8,5.555967,17.67569371,8.706428749,4.975236932,5.419508,31,5.390295,19.37882528,2004,5,6
31400,53992,198,60.62036,0.033203125,21.899902,9.28125,3.093,12,26.44384813,22.00964508,16.667988,89,16.394721,3.265449555,25.37255518,21.33379393,16.303875,92,16.042323,2.206309146,2004,7,17
11147,53694,2,126.1333,0.4248047,-0.30004883,11.323975,0.37166667,13,3.358093561,-7.982286199,2.068275,56.1,2.064006,2.626229971,2.728562561,-10.628522,1.68634,44,1.683501,3.472715986,2004,1,3
124998,58021,36,59.274902,0.7084961,3.3999023,17.628906,0.314,13,2.176775095,-13.4416762,1.339126,36.4,1.337335,3.803127863,1.798370779,-15.76697328,1.092742,29,1.091549,4.402907768,2004,2,6
71240,54704,188,24.550781,0.012939453,26.800049,16.908203,2.9555,13,21.00702246,18.29135984,13.168516,56.4,12.99736,16.25953848,23.64373971,20.18842003,15.044864,59,14.821871,16.43039539,2004,7,7
124081,58016,231,35.783936,0.053466797,24.050049,5.6608887,2.375,13,21.56540959,18.7098938,13.52616,70.8,13.345645,8.905934825,22.84767377,19.63610771,14.477647,73,14.271036,8.450509476,2004,8,19
92798,54827,207,129.72583,0.16503906,25.850098,39.543457,0.9915,13,30.41554223,24.32225761,19.248885,87.6,18.885363,4.305490102,27.78163151,22.82069995,17.976499,77,17.659051,8.298409413,2004,7,26
62282,54613,215,6.885254,0.030273438,27.550049,23.50122,3.5925,13,29.33191977,23.71884499,18.542656,85.1,18.205085,5.1156774,29.05367537,23.56075817,18.594004,81,18.254578,6.815059654,2004,8,3
