id,RH,year,month,day
54912,89.3,2018,9,20
54913,91.8,2018,9,20
54914,89.8,2018,9,20
54915,88.3,2018,9,20
54916,90,2018,9,20
54917,89.3,2018,9,20
54918,87.5,2018,9,20
54919,88.3,2018,9,20
54920,88.5,2018,9,20
54921,92.5,2018,9,20
54922,90.5,2018,9,20
54923,91,2018,9,20
54925,89.5,2018,9,20
54927,96,2018,9,20
54929,87,2018,9,20
54932,94.5,2018,9,20
54935,93.5,2018,9,20
54936,92,2018,9,20
54938,92.5,2018,9,20
54939,93.3,2018,9,20
54940,95.3,2018,9,20
54943,94.8,2018,9,20
54945,100,2018,9,20
57079,96.5,2018,9,20
57081,90.5,2018,9,20
57082,84.5,2018,9,20
57083,91,2018,9,20
57085,90.8,2018,9,20
57086,87.5,2018,9,20
57087,94.3,2018,9,20
57088,98.3,2018,9,20
57089,95,2018,9,20
57090,87.8,2018,9,20
57091,84,2018,9,20
57093,88,2018,9,20
57094,93.8,2018,9,20
57095,95,2018,9,20
57096,88.5,2018,9,20
57098,94.8,2018,9,20
57099,92.8,2018,9,20
57191,89.5,2018,9,20
58001,90.3,2018,9,20
58002,86.5,2018,9,20
58003,83.8,2018,9,20
58004,88.3,2018,9,20
58005,87,2018,9,20
58006,87.8,2018,9,20
58007,92.3,2018,9,20
58008,92.3,2018,9,20
58011,87.3,2018,9,20
58012,90.5,2018,9,20
58013,90.5,2018,9,20
58015,95,2018,9,20
58016,89.3,2018,9,20
58017,90.8,2018,9,20
58020,88.8,2018,9,20
58021,92.3,2018,9,20
58022,90,2018,9,20
58024,89.3,2018,9,20
58025,89.5,2018,9,20
58026,91,2018,9,20
58027,89,2018,9,20
58030,93.8,2018,9,20
58032,89.5,2018,9,20
58034,91.5,2018,9,20
58035,88.8,2018,9,20
58036,90.8,2018,9,20
58038,97,2018,9,20
58040,95,2018,9,20
58044,90,2018,9,20
58045,95.5,2018,9,20
58047,91,2018,9,20
58048,91,2018,9,20
58049,95.3,2018,9,20
58116,94.3,2018,9,20
