station,id,lat,lon
352,58006,34.38,115.88
353,58007,34.07,115.3
354,58008,34.47,115.33
355,58011,34.8,116.07
356,58012,34.67,116.65
357,58013,34.75,116.9
358,58015,34.45,116.33
359,58016,34.18,116.97
360,58017,34.25,116.13
361,58020,34.8,117.13
362,58021,34.78,117.28
363,58022,34.75,117.57
364,58024,34.87,117.58
365,58025,34.57,117.73
366,58026,34.4,118.02
367,58027,34.28,117.15
368,58030,34.88,118.02
369,58032,34.95,118.65
370,58034,34.6,118.32
371,58035,34.33,118.35
372,58036,34.55,118.72
373,58038,34.08,118.78
374,58040,34.85,119.13
375,58041,34.78,119.43
376,58044,34.55,119.23
377,58045,34.2,119.6
378,58047,34.25,119.23
379,58048,34.12,119.35
380,58049,34.02,119.8
381,58116,34.03,116.87
