id,R2,MAE,RMSE,lon,lat
54596,0.986336718,0.669918606,0.946410125,116.2,39.77
54597,0.986757416,0.607649691,0.860538694,115.73,39.73
54601,0.989850546,0.592340766,0.842924785,115.65,38.98
54602,0.988762503,0.644172299,0.910999664,115.48,38.73
54603,0.989914117,0.59656625,0.833978263,115.77,38.72
54604,0.988918939,0.615217613,0.871407093,115.33,38.42
54605,0.989478927,0.599521347,0.838459365,115.93,38.93
54606,0.991772777,0.566073931,0.786370441,115.73,38.23
54607,0.988625944,0.649848609,0.913097416,115.12,38.72
54608,0.989593087,0.614090551,0.852451626,115.55,38
54609,0.991361543,0.573328409,0.803234508,115.58,38.23
54610,0.988908807,0.632071227,0.881746673,116.1,38.73
54611,0.988117014,0.647022707,0.927826664,115.32,38.93
54612,0.989630784,0.626150945,0.869981818,116.45,38.85
54613,0.990192105,0.59615437,0.845350366,116.62,38.7
54614,0.991054132,0.593264628,0.835552672,116.05,38.42
54615,0.989730592,0.626547874,0.880866375,116.85,38.58
54616,0.988684907,0.663510887,0.909945702,116.85,38.35
54617,0.990663667,0.591524339,0.820162048,116.17,38.2
54618,0.990549411,0.600211603,0.828894927,116.55,38.08
54619,0.988485707,0.657640837,0.929357658,116.92,38.92
54620,0.989644273,0.626730274,0.870874772,115.57,38.48
54621,0.990302706,0.595366419,0.832039579,115.18,38.18
54622,0.988077655,0.664842976,0.93036344,117.37,38.98
54624,0.988938854,0.64966189,0.911897939,117.32,38.4
54626,0.991327126,0.566146724,0.785792033,115.82,38.42
54627,0.990687702,0.595092817,0.840341532,117.23,38.03
54628,0.989660662,0.617732789,0.876899983,117.48,38.15
54631,0.990105348,0.608581201,0.869786187,115.15,37.07
54632,0.990572198,0.585488894,0.844933923,115.03,37.07
54633,0.990530457,0.589488777,0.820155576,115.27,37.5
54636,0.991044266,0.575906758,0.811736311,116.1,39.02
54640,0.990610369,0.584727671,0.82765504,114.87,36.92
54644,0.990042523,0.624859149,0.874056745,117.12,38.05
54645,0.985499887,0.735131831,1.042375752,117.47,38.85
54700,0.991523185,0.5735985,0.811011671,115.93,38.03
54701,0.988808473,0.629906569,0.877012786,115.2,37.93
54702,0.990364532,0.59574727,0.835754036,115.7,37.73
54703,0.990308922,0.601795134,0.839882631,115.88,37.8
54704,0.991692072,0.557441646,0.792494487,115.57,37.52
54705,0.990416508,0.592696374,0.842952453,115.38,37.37
54706,0.989378383,0.591882429,0.859011708,115.67,37.08
54707,0.99180541,0.545387073,0.785811376,115.98,37.35
54708,0.990800038,0.57033103,0.829617903,115.73,37.5
54709,0.990944761,0.565671736,0.812718852,116.07,37.23
54710,0.991733685,0.559924453,0.77092568,116.17,37.87
54711,0.990955002,0.577144775,0.803554927,116.28,37.7
54712,0.991600676,0.559754215,0.774608656,116.82,37.2
54713,0.991318052,0.582102752,0.809919427,116.53,37.88
54714,0.988532435,0.656171359,0.919781774,116.33,37.45
54715,0.991692461,0.568878902,0.799142753,116.52,37.32
54716,0.99116411,0.579984365,0.810833643,116.8,37.67
54717,0.992053659,0.562969359,0.786038145,116.4,37.63
54718,0.991129884,0.574679414,0.806088784,116.47,37.15
54719,0.991266194,0.582917732,0.81068629,116.68,38.03
54722,0.990619561,0.61101181,0.844411088,117.63,37.75
54723,0.993119801,0.527548574,0.732868559,117.57,37.65
54724,0.99090362,0.601291464,0.825549566,117.13,37.32
54725,0.990364609,0.607320399,0.859525698,117.53,37.5
54726,0.991736341,0.572330393,0.799777518,117.18,37.7
54727,0.983853204,0.761548186,1.048628421,117.55,36.68
54728,0.990916774,0.590710919,0.829953129,117.35,37.77
54729,0.989345182,0.654143947,0.899456436,117.87,37.17
54730,0.989962146,0.629596487,0.871195874,118.13,37.7
54731,0.989144714,0.629518718,0.88276136,118.22,37.48
54732,0.986377519,0.689408335,0.947924181,118.52,37.87
54734,0.988502595,0.660400545,0.930232454,118,37.35
54736,0.987261119,0.691138752,0.955163665,118.67,37.43
54737,0.986066307,0.723666368,1.004983705,118.15,37.15
